date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:33:41	719/719	---MCZ	200	added ('OK')	text/plain	etag:W/%226923d83a-7d5%22	https://www.data.gov.au/robots.txt		(from )
00:33:42	346727/346727	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Feb%202026%2000:33:41%20GMT	https://www.data.gov.au/	./cloned-site/www.data.gov.au/index.html	(from )
00:33:42	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2026%20Feb%202026%2000:33:42%20GMT	https://www.googletagmanager.com/gtm.js?id=	./cloned-site/www.googletagmanager.com/gtm.05445.delayed	(from https://www.data.gov.au/)
00:33:44	11192/11192	---MCZ	200	added ('OK')	text/css	etag:W/%22698d28c6-2bb8%22	https://www.data.gov.au/sites/default/files/css/css_oYbfP7KPe7Gb1BjA4vc1idhKuCY08Rx6yskR8MiJJps.css?delta=0&language=en&theme=dga&include=eJyNjEEOgzAMBD-UNE9CTnCDpdhG2dCK31fQQyV64TKH3dnN7gOj0zpl6l08Pb1ryNdUGaDKmJrUZfz35jOH4p1TcV3d2AYeVytGZdtualPxtqnhrq4kFuZKqTbP1CLG3sTqEZ3d9wIyOIKplyWcs9-bFLd0AAE7BmvKBA4v4TfSyYf6vDX-AEWJeRc	./cloned-site/www.data.gov.au/sites/default/files/css/css_oYbfP7KPe7Gb1BjA4vc1idhKuCY08Rx6yskR8MiJJps72cc.css	(from https://www.data.gov.au/)
00:33:45	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2026%20Feb%202026%2000:33:45%20GMT	http://cdn.jsdelivr.net/npm/bootstrap-icons/font/bootstrap-icons.min.css	./cloned-site/cdn.jsdelivr.net/npm/bootstrap-icons/font/bootstrap-icons.min.3.delayed	(from https://www.data.gov.au/)
00:33:45	74526/74526	---M--	200	added ('OK')	image/x-icon	etag:%226923d83a-1231e%22	https://www.data.gov.au/themes/custom/dga/favicon.ico	./cloned-site/www.data.gov.au/themes/custom/dga/favicon.ico	(from https://www.data.gov.au/)
00:33:47	87008/87008	---M-Z	200	added ('OK')	text/css	etag:W/%22153e0-rp/p6DPa9owjeUXpre5bfzVHjRk%22	https://cdn.jsdelivr.net/npm/bootstrap-icons/font/bootstrap-icons.min.css	./cloned-site/cdn.jsdelivr.net/npm/bootstrap-icons/font/bootstrap-icons.min.css	(from https://www.data.gov.au/)
00:33:48	367510/367510	---MCZ	200	added ('OK')	text/css	etag:W/%22698d2869-59b96%22	https://www.data.gov.au/sites/default/files/css/css_TA7AB7hKjhiwEAPRRI7-lC28nYL2951TtHIuSuvc4uA.css?delta=2&language=en&theme=dga&include=eJyNjEEOgzAMBD-UNE9CTnCDpdhG2dCK31fQQyV64TKH3dnN7gOj0zpl6l08Pb1ryNdUGaDKmJrUZfz35jOH4p1TcV3d2AYeVytGZdtualPxtqnhrq4kFuZKqTbP1CLG3sTqEZ3d9wIyOIKplyWcs9-bFLd0AAE7BmvKBA4v4TfSyYf6vDX-AEWJeRc	./cloned-site/www.data.gov.au/sites/default/files/css/css_TA7AB7hKjhiwEAPRRI7-lC28nYL2951TtHIuSuvc4uAf35c.css	(from https://www.data.gov.au/)
00:33:50	27539/27539	---MCZ	200	added ('OK')	application/javascript	etag:W/%221477a030afbffc7eaa9ab16aa87377ff%22	https://use.fontawesome.com/releases/v6.4.0/js/v4-shims.js	./cloned-site/use.fontawesome.com/releases/v6.4.0/js/v4-shims.js	(from https://www.data.gov.au/)
00:33:50	1468161/1468161	---MCZ	200	added ('OK')	application/javascript	etag:W/%2278cdcbfac5817d1dca139718d1b9a8f5%22	https://use.fontawesome.com/releases/v6.4.0/js/all.js	./cloned-site/use.fontawesome.com/releases/v6.4.0/js/all.js	(from https://www.data.gov.au/)
