date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:33:31	726/726	---MCZ	200	added ('OK')	text/plain	etag:W/%226923d83a-7d5%22	https://www.crimestats.com.au/robots.txt		(from )
20:33:32	346727/346727	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Feb%202026%2020:33:31%20GMT	https://www.crimestats.com.au/	./data_gov_au/www.crimestats.com.au/index.html	(from )
20:33:33	74526/74526	---M--	200	added ('OK')	image/x-icon	etag:%226923d83a-1231e%22	https://www.data.gov.au/themes/custom/dga/favicon.ico	./data_gov_au/www.data.gov.au/themes/custom/dga/favicon.ico	(from https://www.crimestats.com.au/)
20:33:34	11192/11192	---MCZ	200	added ('OK')	text/css	etag:W/%22698d28c6-2bb8%22	https://www.data.gov.au/sites/default/files/css/css_oYbfP7KPe7Gb1BjA4vc1idhKuCY08Rx6yskR8MiJJps.css?delta=0&language=en&theme=dga&include=eJyNjEEOgzAMBD-UNE9CTnCDpdhG2dCK31fQQyV64TKH3dnN7gOj0zpl6l08Pb1ryNdUGaDKmJrUZfz35jOH4p1TcV3d2AYeVytGZdtualPxtqnhrq4kFuZKqTbP1CLG3sTqEZ3d9wIyOIKplyWcs9-bFLd0AAE7BmvKBA4v4TfSyYf6vDX-AEWJeRc	./data_gov_au/www.data.gov.au/sites/default/files/css/css_oYbfP7KPe7Gb1BjA4vc1idhKuCY08Rx6yskR8MiJJps72cc.css	(from https://www.crimestats.com.au/)
20:33:35	367510/367510	---MCZ	200	added ('OK')	text/css	etag:W/%22698d2869-59b96%22	https://www.data.gov.au/sites/default/files/css/css_TA7AB7hKjhiwEAPRRI7-lC28nYL2951TtHIuSuvc4uA.css?delta=2&language=en&theme=dga&include=eJyNjEEOgzAMBD-UNE9CTnCDpdhG2dCK31fQQyV64TKH3dnN7gOj0zpl6l08Pb1ryNdUGaDKmJrUZfz35jOH4p1TcV3d2AYeVytGZdtualPxtqnhrq4kFuZKqTbP1CLG3sTqEZ3d9wIyOIKplyWcs9-bFLd0AAE7BmvKBA4v4TfSyYf6vDX-AEWJeRc	./data_gov_au/www.data.gov.au/sites/default/files/css/css_TA7AB7hKjhiwEAPRRI7-lC28nYL2951TtHIuSuvc4uAf35c.css	(from https://www.crimestats.com.au/)
20:33:36	18158/18158	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Feb%202026%2020:33:35%20GMT	https://www.data.gov.au/data/user/login	./data_gov_au/www.data.gov.au/data/user/login.html	(from https://www.crimestats.com.au/)
20:33:37	107337/107337	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226923d83a-1a349%22	https://www.data.gov.au/themes/custom/dga/logo.svg	./data_gov_au/www.data.gov.au/themes/custom/dga/logo.svg	(from https://www.crimestats.com.au/)
20:33:38	1321225/1321225	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Feb%202026%2020:33:37%20GMT	https://www.data.gov.au/data/dataset	./data_gov_au/www.data.gov.au/data/dataset.html	(from https://www.crimestats.com.au/)
20:33:39	35451/35451	---MCZ	200	added ('OK')	text/html	date:Tue,%2024%20Feb%202026%2020:33:38%20GMT	https://www.data.gov.au/data/organization	./data_gov_au/www.data.gov.au/data/organization.html	(from https://www.crimestats.com.au/)
20:33:40	11673/11673	---M--	200	added ('OK')	image/jpeg	etag:%22685b52e3-2d99%22	https://www.data.gov.au/sites/default/files/styles/card_image/public/2025-06/recent-updated.jpg?itok=gQ4D12EQ	./data_gov_au/www.data.gov.au/sites/default/files/styles/card_image/public/2025-06/recent-updated0079.jpg	(from https://www.crimestats.com.au/)
